"","week","total_booster_doses","perc_doses"
"1",2021-09-19,89207,0.006
"2",2021-09-26,409419,0.029
"3",2021-10-03,375018,0.027
"4",2021-10-10,343064,0.024
"5",2021-10-17,407179,0.029
"6",2021-10-24,811023,0.057
"7",2021-10-31,852882,0.06
"8",2021-11-07,832549,0.059
"9",2021-11-14,957254,0.068
"10",2021-11-21,711439,0.05
"11",2021-11-28,1032293,0.073
"12",2021-12-05,1042652,0.074
"13",2021-12-12,974643,0.069
"14",2021-12-19,775177,0.055
"15",2021-12-26,715320,0.051
"16",2022-01-02,862520,0.061
"17",2022-01-09,729461,0.052
"18",2022-01-16,570086,0.04
"19",2022-01-23,489881,0.035
"20",2022-01-30,344352,0.024
"21",2022-02-06,250457,0.018
"22",2022-02-13,193861,0.014
"23",2022-02-20,181154,0.013
"24",2022-02-27,163912,0.012
